    2,    9, 2010,   14,    6,    5, -34,779 -71,791  36,500   3,400   1,000    ,000   7,000
    2,    9, 2010,   13,   56,    2, -34,084 -72,235  35,100   3,300   1,000    ,000   7,000
    2,    9, 2010,   13,   32,   46, -23,340 -67,173 225,000   3,500   1,000    ,000   7,000
    2,    9, 2010,    4,   55,   48, -34,787 -71,871  35,400   3,800   1,000    ,000   7,000
    2,    9, 2010,    3,   26,   30, -34,841 -71,972  37,600   3,000   1,000    ,000   7,000
    2,    9, 2010,    2,   48,    2, -35,353 -71,301  89,700   3,200   1,000    ,000   7,000
    2,    9, 2010,    1,   59,    8, -35,161 -72,296  23,000   3,600   1,000    ,000   7,000
    2,    9, 2010,    0,   27,   37, -20,664 -69,041  93,600   3,400   1,000    ,000   7,000
    1,    9, 2010,   20,   29,   37, -34,673 -71,929  25,800   3,300   1,000    ,000   7,000
    1,    9, 2010,   20,   28,   16, -20,560 -68,973 120,900   4,200   1,000    ,000   7,000
    1,    9, 2010,   20,    9,   29, -33,801 -71,934   8,600   3,100   1,000    ,000   7,000
    1,    9, 2010,   19,   46,   18, -33,930 -71,463  14,900   4,700   1,000    ,000   7,000
    1,    9, 2010,   18,   25,   25, -33,975 -72,130  15,000   3,300   1,000    ,000   7,000
    1,    9, 2010,   15,   29,   54, -33,853 -71,852  13,600   3,700   1,000    ,000   7,000
    1,    9, 2010,   14,   45,   23, -34,171 -71,735  40,300   3,000   1,000    ,000   7,000
    1,    9, 2010,   14,    3,   29, -34,852 -72,288  12,300   4,400   1,000    ,000   7,000
    1,    9, 2010,   13,   24,   32, -22,830 -68,860  89,800   5,200   1,000    ,000   7,000
    1,    9, 2010,   13,    8,   53, -36,830 -73,086  29,600   4,000   1,000    ,000   7,000
    1,    9, 2010,    5,   42,   57, -36,052 -72,711  35,000   3,400   1,000    ,000   7,000
    1,    9, 2010,    4,   52,    4, -34,792 -73,822  19,000   4,300   1,000    ,000   7,000
    1,    9, 2010,    3,   53,   36, -33,314 -70,540 101,900   3,100   1,000    ,000   7,000
    1,    9, 2010,    2,   22,    5, -33,926 -72,390   9,400   4,300   1,000    ,000   7,000
    1,    9, 2010,    1,   20,   59, -20,397 -69,081 112,700   4,800   1,000    ,000   7,000
