   día   mes año      hora min   seg   lat    long     prof   magnitud1 tipo1 magnitud2 tipo2
    1,    9, 2010,   20.0   29.0   37.0 -34,673 -71,929  25,800   3,300   1,000    ,000   7,000
    1,    9, 2010,   20.0   28.0   16.0 -20,560 -68,973 120,900   4,200   1,000    ,000   7,000
    1,    9, 2010,   20.0    9.0   29.0 -33,801 -71,934   8,600   3,100   1,000    ,000   7,000
    1,    9, 2010,   19.0   46.0   18.0 -33,930 -71,463  14,900   4,700   1,000    ,000   7,000
    1,    9, 2010,   18.0   25.0   25.0 -33,975 -72,130  15,000   3,300   1,000    ,000   7,000
    1,    9, 2010,   15.0   29.0   54.0 -33,853 -71,852  13,600   3,700   1,000    ,000   7,000
    1,    9, 2010,   14.0   45.0   23.0 -34,171 -71,735  40,300   3,000   1,000    ,000   7,000
    1,    9, 2010,   14.0    3.0   29.0 -34,852 -72,288  12,300   4,400   1,000    ,000   7,000
    1,    9, 2010,   13.0   24.0   32.0 -22,830 -68,860  89,800   5,200   1,000    ,000   7,000
    1,    9, 2010,   13.0    8.0   53.0 -36,830 -73,086  29,600   4,000   1,000    ,000   7,000
    1,    9, 2010,    5.0   42.0   57.0 -36,052 -72,711  35,000   3,400   1,000    ,000   7,000
    1,    9, 2010,    4.0   52.0    4.0 -34,792 -73,822  19,000   4,300   1,000    ,000   7,000
    1,    9, 2010,    3.0   53.0   36.0 -33,314 -70,540 101,900   3,100   1,000    ,000   7,000
    1,    9, 2010,    2.0   22.0    5.0 -33,926 -72,390   9,400   4,300   1,000    ,000   7,000
    1,    9, 2010,    1.0   20.0   59.0 -20,397 -69,081 112,700   4,800   1,000    ,000   7,000
   31,    8, 2010,   23.0   15.0   53.0 -35,029 -72,535   8,500   3,200   1,000    ,000   7,000
   31,    8, 2010,   22.0   56.0   55.0 -34,947 -72,298  24,000   3,100   1,000    ,000   7,000
   31,    8, 2010,   17.0    4.0   34.0 -34,867 -71,685  49,000   3,600   1,000    ,000   7,000
   31,    8, 2010,   12.0    6.0   58.0 -20,101 -69,312 101,800   3,400   1,000    ,000   7,000
   31,    8, 2010,   10.0    5.0   39.0 -26,598 -70,569  45,400   4,700   1,000    ,000   7,000
   31,    8, 2010,    7.0   33.0    8.0 -34,770 -71,798  40,300   3,300   1,000    ,000   7,000
   31,    8, 2010,    5.0   41.0   25.0 -35,737 -73,493  24,700   4,100   1,000    ,000   7,000
   31,    8, 2010,    0.0    3.0    9.0 -35,635 -73,570  32,500   3,700   1,000    ,000   7,000
   30,    8, 2010,   23.0   53.0   53.0 -34,748 -73,005  32,600   3,600   1,000    ,000   7,000
   30,    8, 2010,   21.0    3.0   57.0 -21,451 -69,759  72,400   3,700   1,000    ,000   7,000
   30,    8, 2010,   16.0   52.0   38.0 -21,905 -68,847 122,900   3,000   1,000    ,000   7,000
   30,    8, 2010,   15.0   41.0   45.0 -20,574 -70,424  42,100   3,800   1,000    ,000   7,000
   30,    8, 2010,   15.0    4.0   30.0 -21,188 -68,706 144,800   3,600   1,000    ,000   7,000
